trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.35, 'e': 0.955}",20,0,-127.15560464503021,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.35, 'e': 0.954}",20,1,-152.78127644171562,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 2}",1
47,False,"{'a': 0.35, 'e': 0.953}",25,0,-16.274470890764505,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.35, 'e': 0.952}",25,0,-61.13935634847281,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.35, 'e': 0.951}",35,0,-130.24688657203438,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
50,False,"{'a': 0.35, 'e': 0.95}",25,0,-157.45126594623156,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 1}",0
51,False,"{'a': 0.35, 'e': 0.949}",25,0,-153.41340422852173,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
52,False,"{'a': 0.35, 'e': 0.948}",20,0,-48.17542630756327,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.35, 'e': 0.947}",30,7,-73.13592958061508,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.35, 'e': 0.946}",20,0,-64.63574001313403,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.35, 'e': 0.945}",30,0,-113.95117855373663,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.35, 'e': 0.944}",20,0,-73.02247131628356,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.35, 'e': 0.943}",25,0,-74.93638171752673,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.35, 'e': 0.942}",20,0,-118.4792398709948,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.35, 'e': 0.941}",25,0,-87.36225966653784,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
60,False,"{'a': 0.35, 'e': 0.94}",25,0,-169.4640025457724,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
61,False,"{'a': 0.35, 'e': 0.939}",35,25,7.920804859298025,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.35, 'e': 0.938}",20,0,-109.0251712529797,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.35, 'e': 0.9369999999999999}",25,0,-214.22183088099177,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
64,False,"{'a': 0.35, 'e': 0.9359999999999999}",20,1,-113.85449519561871,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 2}",1
65,False,"{'a': 0.35, 'e': 0.9349999999999999}",20,0,-131.23816714174964,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.35, 'e': 0.9339999999999999}",20,0,-103.70277825257989,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
